Id,LotFrontage,LotArea,LotShape,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,PoolArea,Fence,SaleType,SaleCondition,SalePrice
1,65,8450,Reg,2Story,7,5,2003,2003,196,856,Y,856,854,1710,1,2,1,3,1,Gd,Typ,0,Attchd,2,TA,0,61,0,NA,WD,Normal,208500
2,80,9600,Reg,1Story,6,8,1976,1976,0,1262,Y,1262,0,1262,0,2,0,3,1,TA,Typ,1,Attchd,2,TA,298,0,0,NA,WD,Normal,181500
3,68,11250,IR1,2Story,7,5,2001,2002,162,920,Y,920,866,1786,1,2,1,3,1,Gd,Typ,1,Attchd,2,TA,0,42,0,NA,WD,Normal,223500
4,60,9550,IR1,2Story,7,5,1915,1970,0,756,Y,961,756,1717,1,1,0,3,1,Gd,Typ,1,Detchd,3,TA,0,35,0,NA,WD,Abnorml,140000
5,84,14260,IR1,2Story,8,5,2000,2000,350,1145,Y,1145,1053,2198,1,2,1,4,1,Gd,Typ,1,Attchd,3,TA,192,84,0,NA,WD,Normal,250000
6,85,14115,IR1,1.5Fin,5,5,1993,1995,0,796,Y,796,566,1362,1,1,1,1,1,TA,Typ,0,Attchd,2,TA,40,30,0,MnPrv,WD,Normal,143000
7,75,10084,Reg,1Story,8,5,2004,2005,186,1686,Y,1694,0,1694,1,2,0,3,1,Gd,Typ,1,Attchd,2,TA,255,57,0,NA,WD,Normal,307000
8,NA,10382,IR1,2Story,7,6,1973,1973,240,1107,Y,1107,983,2090,1,2,1,3,1,TA,Typ,2,Attchd,2,TA,235,204,0,NA,WD,Normal,200000
9,51,6120,Reg,1.5Fin,7,5,1931,1950,0,952,Y,1022,752,1774,0,2,0,2,2,TA,Min1,2,Detchd,2,Fa,90,0,0,NA,WD,Abnorml,129900
10,50,7420,Reg,1.5Unf,5,6,1939,1950,0,991,Y,1077,0,1077,1,1,0,2,2,TA,Typ,2,Attchd,1,Gd,0,4,0,NA,WD,Normal,118000
11,70,11200,Reg,1Story,5,5,1965,1965,0,1040,Y,1040,0,1040,1,1,0,3,1,TA,Typ,0,Detchd,1,TA,0,0,0,NA,WD,Normal,129500
