Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,BsmtFinType2,BsmtFinSF2
1,60,RL,65,8450,Reg,Inside,CollgCr,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196,Gd,PConc,Gd,No,GLQ,706,150,856,Ex,Unf,0
2,20,RL,80,9600,Reg,FR2,Veenker,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0,TA,CBlock,Gd,Gd,ALQ,978,284,1262,Ex,Unf,0
3,60,RL,68,11250,IR1,Inside,CollgCr,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162,Gd,PConc,Gd,Mn,GLQ,486,434,920,Ex,Unf,0
4,70,RL,60,9550,IR1,Corner,Crawfor,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0,TA,BrkTil,TA,No,ALQ,216,540,756,Gd,Unf,0
5,60,RL,84,14260,IR1,FR2,NoRidge,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350,Gd,PConc,Gd,Av,GLQ,655,490,1145,Ex,Unf,0
6,50,RL,85,14115,IR1,Inside,Mitchel,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0,TA,Wood,Gd,No,GLQ,732,64,796,Ex,Unf,0
7,20,RL,75,10084,Reg,Inside,Somerst,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186,Gd,PConc,Ex,Av,GLQ,1369,317,1686,Ex,Unf,0
8,60,RL,NA,10382,IR1,Corner,NWAmes,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240,TA,CBlock,Gd,Mn,ALQ,859,216,1107,Ex,BLQ,32
9,50,RM,51,6120,Reg,Inside,OldTown,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0,TA,BrkTil,TA,No,Unf,0,952,952,Gd,Unf,0
10,190,RL,50,7420,Reg,Corner,BrkSide,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0,TA,BrkTil,TA,No,GLQ,851,140,991,Ex,Unf,0
11,20,RL,70,11200,Reg,Inside,Sawyer,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0,TA,CBlock,TA,No,Rec,906,134,1040,Ex,Unf,0
12,60,RL,85,11924,IR1,Inside,NridgHt,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286,Ex,PConc,Ex,No,GLQ,998,177,1175,Ex,Unf,0
13,20,RL,NA,12968,IR2,Inside,Sawyer,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0,TA,CBlock,TA,No,ALQ,737,175,912,TA,Unf,0
14,20,RL,91,10652,IR1,Inside,CollgCr,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306,Gd,PConc,Gd,Av,Unf,0,1494,1494,Ex,Unf,0
15,20,RL,NA,10920,IR1,Corner,NAmes,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212,TA,CBlock,TA,No,BLQ,733,520,1253,TA,Unf,0
16,45,RM,51,6120,Reg,Corner,BrkSide,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0,TA,BrkTil,TA,No,Unf,0,832,832,Ex,Unf,0
17,20,RL,NA,11241,IR1,CulDSac,NAmes,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180,TA,CBlock,TA,No,ALQ,578,426,1004,Ex,Unf,0
18,90,RL,72,10791,Reg,Inside,Sawyer,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0,TA,Slab,NA,NA,NA,0,0,0,TA,NA,0
19,20,RL,66,13695,Reg,Inside,SawyerW,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0,TA,PConc,TA,No,GLQ,646,468,1114,Ex,Unf,0
20,20,RL,70,7560,Reg,Inside,NAmes,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0,TA,CBlock,TA,No,LwQ,504,525,1029,TA,Unf,0
21,60,RL,101,14215,IR1,Corner,NridgHt,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380,Gd,PConc,Ex,Av,Unf,0,1158,1158,Ex,Unf,0
22,45,RM,57,7449,Reg,Inside,IDOTRR,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,PConc,TA,No,Unf,0,637,637,Ex,Unf,0
23,20,RL,75,9742,Reg,Inside,CollgCr,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281,Gd,PConc,Gd,No,Unf,0,1777,1777,Ex,Unf,0
24,120,RM,44,4224,Reg,Inside,MeadowV,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0,TA,PConc,Gd,No,GLQ,840,200,1040,TA,Unf,0
25,20,RL,NA,8246,IR1,Inside,Sawyer,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0,TA,CBlock,TA,Mn,Rec,188,204,1060,Ex,ALQ,668
